itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:116397,?,1,1,40000,Merchant,Etlol,1613996215,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1614256226,Vendor
i:171349,Potion of Phantom Fire,20,20,2049200,Bokbokgoose,Etlol,1614489765,Auction
i:171437,Shaded Sharpening Stone,10,10,189600,Saphirae,Etlol,1614489785,Auction
i:171285,Shadowcore Oil,8,8,145000,Etrosa,Etlol,1614489804,Auction
i:171276,Spectral Flask of Power,7,7,6399800,Meymey,Etlol,1614489827,Auction
i:162515,Midnight Salmon,544,544,840,Multiple Sellers,Etlol,1614533144,Auction
i:154897,Stringy Loins,2089,2089,1111,Multiple Sellers,Etlol,1614533191,Auction
i:178991,?,1,1,80000,Merchant,Etlol,1614533618,Vendor
i:183244,?,1,1,9350000,Merchant,Etlol,1614533642,Vendor
i:182668,?,1,1,15002500,Merchant,Etlol,1614533682,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1614784873,Vendor
i:178926::2:1532:6758,Shadowghast Ring,1,1,329809900,Imliin,Etlol,1615294218,Auction
i:173160,Missive of Haste,1,1,4024500,Karpenko,Etlol,1615294238,Auction
i:127834,Ancient Healing Potion,1,1,1200,Merchant,Etlol,1615384352,Vendor
i:38682,Enchanting Vellum,40,40,800,Merchant,Etlol,1615539179,Vendor
i:43007,Northern Spices,1,1,100,Bumpers,Etlol,1615559563,Auction
i:43007,Northern Spices,2,2,100,Bumpers,Etlol,1615560133,Auction
i:30817,Simple Flour,5,5,5,Merchant,Etlulz,1615560662,Vendor
i:92794,?,1,1,10000,Merchant,Etlulz,1615560934,Vendor
i:78910,?,1,1,32000,Merchant,Etlulz,1615560947,Vendor
i:136377,Oversized Bobber,5,20,4400,Merchant,Etlulz,1615561448,Vendor
i:116925,?,1,1,2000,Merchant,Etlol,1615891043,Vendor
i:152550,Sea Mist Potion,1,1,10000,Merchant,Etlol,1615891055,Vendor
i:163098,Tradewinds Kolsch,1,1,32400,Merchant,Etlol,1615891073,Vendor
i:169661,Scrap Heap,1,1,340,Merchant,Etlol,1615891080,Vendor
i:144411,?,1,1,200,Merchant,Etlol,1615891091,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1616297644,Vendor
i:181359::3:1472:6646:6652,?,1,1,720422,Merchant,Etlol,1616301234,Vendor
i:181799,Extra Large Hat,1,1,1,Merchant,Etlol,1616301235,Vendor
i:182207,?,1,1,10000000,Merchant,Etlol,1616350673,Vendor
i:179282,?,1,1,2000000,Merchant,Etlol,1616350681,Vendor
i:183518,?,1,1,240000000,Merchant,Etlol,1616350682,Vendor
i:172844::5:42:1494:4785:6515:6516,?,1,1,374378,Merchant,Etlol,1616864585,Vendor
i:163098,Tradewinds Kolsch,1,1,32400,Merchant,Etlol,1616864608,Vendor
i:63293,?,1,1,150,Merchant,Etlol,1616864617,Vendor
i:180409,Crimson Altar Wine,1,1,32400,Merchant,Etlol,1616864625,Vendor
